term,language,classification,tier,file,surface,context,occurrences,customer_importance,ru_proposal,ro_proposal,english_once,owner_decision_required,tier_1_reason,decision_critical,conversion_risk,first_time_owner_comprehension,notes
"treasury briefing","RU","A","2","capacity-released.html client-base-control-system.html kaznacheystvo.html","JSON_LD META OPEN_GRAPH TWITTER PROSE","Казначейство для бизнеса: фондовое планирование, метафонды, водопад платежей, приоритеты, Payment Gate, покрытие 7/14/30 дней, Power BI dashboard и ИИ treasury ","11","HIGH","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"funding gap","RU","A","2","treasury-waterfall.html working-capital.html","META OPEN_GRAPH TWITTER JSON_LD PROSE CARD CTA","Фондовое планирование и водопад платежей: фонды и метафонды, приоритеты P0–P5, три фильтра оплаты, покрытие 7/14/30, funding gap и dashboard платёжной способнос","11","HIGH","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Power BI dashboard","RU","A","2","capacity-released.html client-base-control-system.html kaznacheystvo.html","JSON_LD META OPEN_GRAPH TWITTER","Казначейство для бизнеса: фондовое планирование, метафонды, водопад платежей, приоритеты, Payment Gate, покрытие 7/14/30 дней, Power BI dashboard и ИИ treasury ","10","HIGH","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Cost Effect","RU","A","2","margin-factor-analysis-flags.html","PROSE CARD","= Volume Effect + Mix Effect + Cost Effect + Price Effect","9","MEDIUM","Эффект себестоимости","Efectul costului","NO","NO","","NO","MEDIUM","FAIL",""
"retail","RU","A","2","retail-margin-engine.html","META OPEN_GRAPH TWITTER JSON_LD BUTTON PROSE CTA","FINMENTOR Retail Margin Engine — флагманская CFO-модель для retail: норма маржи на метр, категорию и SKU, Supplier Shelf Credit, promo и retrobonus, dashboard с","9","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Price Effect","RU","A","2","margin-factor-analysis-flags.html","PROSE CARD","= Volume Effect + Mix Effect + Cost Effect + Price Effect","8","MEDIUM","Эффект цены","Efectul prețului","NO","NO","","NO","MEDIUM","FAIL",""
"CAPEX","RU","B","2","pribyl-vs-cash.html real-estate-control-system.html","META OPEN_GRAPH TWITTER JSON_LD","Прибыль есть, денег нет: почему P&L не отвечает на вопрос собственника о Cash. Цепочка P&L → оборотный капитал → CAPEX → финансирование → деньги и почему ликвид","8","MEDIUM","Капитальные вложения","Investiții de capital","YES","NO","","NO","MEDIUM","FAIL",""
"Price Effect","RO","A","2","ro/margin-factor-analysis-flags.html","PROSE CARD","= Volume Effect + Mix Effect + Cost Effect + Price Effect","8","MEDIUM","Эффект цены","Efectul prețului","NO","NO","","NO","MEDIUM","FAIL",""
"CAPEX","RO","B","2","ro/pribyl-vs-cash.html ro/real-estate-control-system.html","META OPEN_GRAPH TWITTER JSON_LD","Profit există, bani nu: de ce P&L nu răspunde la întrebarea proprietarului despre Cash. Lanțul P&L → capital de lucru → CAPEX → finanțare → bani și de ce lichid","8","MEDIUM","Капитальные вложения","Investiții de capital","YES","NO","","NO","MEDIUM","FAIL",""
"stock-out","RU","A","2","margin-factor-analysis-flags.html","PROSE","Нельзя принимать решение только по итоговому факторному мосту. Один и тот же минус по цене означает разное, если в периоде была промо-акция; одно и то же падени","7","MEDIUM","дефицит товара","lipsă de stoc","NO","NO","","NO","MEDIUM","FAIL",""
"FINMENTOR Retail Margin Engine","RU","A","2","retail-margin-engine.html supplier-shelf-credit.html","META JSON_LD OPEN_GRAPH TWITTER","FINMENTOR Retail Margin Engine — флагманская CFO-модель для retail: норма маржи на метр, категорию и SKU, Supplier Shelf Credit, promo и retrobonus, dashboard с","7","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Available Cash","RU","B","2","treasury-waterfall.html working-capital.html","CARD PROSE","Available Cash","7","MEDIUM","Доступные деньги","Numerar disponibil","YES","NO","","NO","MEDIUM","FAIL",""
"FINMENTOR Retail Margin Engine","RO","A","2","ro/retail-margin-engine.html ro/supplier-shelf-credit.html","META JSON_LD OPEN_GRAPH TWITTER","FINMENTOR Retail Margin Engine — modelul CFO flagship pentru retail: norma de marjă pe metru, categorie și SKU, Supplier Shelf Credit, promo și retrobonus, dash","7","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Available Cash","RO","B","2","ro/treasury-waterfall.html ro/working-capital.html","CARD PROSE","Available Cash","7","MEDIUM","Доступные деньги","Numerar disponibil","YES","NO","","NO","MEDIUM","FAIL",""
"governance","RU","A","2","ai-agent-economics.html","META OPEN_GRAPH TWITTER JSON_LD PROSE","FINMENTOR считает полную стоимость ИИ-агентов, Стоимость принятого результата, Отдача от вложений в искусственный интеллект, бюджет, выбор модели и governance ц","6","MEDIUM","управление и контроль","guvernanță și control","NO","NO","","NO","MEDIUM","FAIL",""
"Accepted Outcome","RU","A","2","ai-agent-economics.html capacity-released.html","PROSE META OPEN_GRAPH TWITTER JSON_LD","Accepted Outcome","6","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Direct CFSKU","RU","A","2","fcf-postavshiki.html","CARD PROSE","Уровень 1 · Direct CFSKU","6","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier Financing Benefit","RU","B","2","fcf-postavshiki.html","CARD PROSE CTA","Supplier Financing Benefit — экономия на финансировании","6","MEDIUM","Выгода от финансирования поставщиком","Beneficiul finanțării de la furnizor","YES","NO","","NO","MEDIUM","FAIL",""
"COGS","RU","B","2","fcf-postavshiki.html margin-factor-analysis-flags.html","PROSE CARD","В основе подхода — рабочая модель, где по каждому товарная позиция собраны все денежные параметры: выручка, возвраты, себестоимость (COGS), хранение, доставка, ","6","MEDIUM","Себестоимость продаж","Costul bunurilor vândute","YES","NO","","NO","MEDIUM","FAIL",""
"Volume Effect","RU","A","2","margin-factor-analysis-flags.html","PROSE CARD","= Volume Effect + Mix Effect + Cost Effect + Price Effect","6","MEDIUM","Эффект объёма","Efectul volumului","NO","NO","","NO","MEDIUM","FAIL",""
"CFO Control Partner","RU","A","2","monthly-cfo-support.html","META OPEN_GRAPH TWITTER JSON_LD","Ежемесячное сопровождение CFO для собственника: Control Light, CFO Control Partner и CFO ИИ Control. Внешний финансовый контроль удалённо. От 750 € / 1 500 € / ","6","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Coverage","RU","A","2","treasury-waterfall.html","CARD PROSE","Coverage 7/14/30","6","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Accepted Outcome","RO","A","2","ro/ai-agent-economics.html ro/capacity-released.html","PROSE META OPEN_GRAPH TWITTER JSON_LD","Accepted Outcome","6","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier Financing Benefit","RO","B","2","ro/fcf-postavshiki.html","CARD PROSE CTA","Supplier Financing Benefit — economia la finanțare","6","MEDIUM","Выгода от финансирования поставщиком","Beneficiul finanțării de la furnizor","YES","NO","","NO","MEDIUM","FAIL",""
"COGS","RO","B","2","ro/fcf-postavshiki.html ro/margin-factor-analysis-flags.html","PROSE CARD","La baza abordării stă un model de lucru în care, pentru fiecare articol de stoc, sunt adunați toți parametrii de numerar: venituri, retururi, cost (COGS), depoz","6","MEDIUM","Себестоимость продаж","Costul bunurilor vândute","YES","NO","","NO","MEDIUM","FAIL",""
"CFO Control Partner","RO","A","2","ro/monthly-cfo-support.html","META OPEN_GRAPH TWITTER JSON_LD","Suport CFO lunar pentru proprietar: Control Light, CFO Control Partner și CFO IA Control. Control financiar extern, la distanță. De la 750 € / 1 500 € / 3 500 €","6","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Coverage","RO","A","2","ro/treasury-waterfall.html","CARD PROSE","Coverage 7/14/30","6","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Control Partner","RU","E","2","business-control-system.html monthly-cfo-support.html","PROSE","После внедрения системы логичный следующий шаг — ежемесячное сопровождение (Финансовый директор Control Partner) для поддержания дисциплины или ИИ-трансформация","5","MEDIUM","Постоянный финансовый партнёр","Partener financiar permanent","YES","YES","","NO","MEDIUM","FAIL","package tier name"
"backtest","RU","A","2","client-base-control-system.html renewal-revenue-at-risk.html","PROSE","Когда backtest на исторических продлениях превратил зоны в откалиброванную P(продления), формулы применяются буквально: абонемент за условные 100 при P = 0,8 — ","5","MEDIUM","ретропроверка","testare retroactivă","NO","NO","","NO","MEDIUM","FAIL",""
"Final FCF","RU","A","2","fcf-postavshiki.html","CARD PROSE","Уровень 3 · Final FCF товарная позиция","5","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"roadmap","RU","A","2","financial-health-check.html","META OPEN_GRAPH TWITTER JSON_LD PROSE","Financial Health Check — экспресс-диагностика финансовой системы бизнеса: карта болей, критические риски и roadmap на 30/60/90 дней. От 1 500 €, срок 1–2 недели","5","MEDIUM","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
